group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.9705406280349628,1.1434121074781483,16,True,True,0.6147010922431946,0.8001928552985191,1.0851606589555742,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18]"
2,wart_flesh,0.026869537067011978,0.014567821301392036,2,False,False,0.33025098219513893,0.4005196690559387,-0.005621494948863983,"[6, 14]"
3,main_flesh_band,0.014891550663645193,0.014891550663645193,1,True,False,0.6120480298995972,0.7247498631477356,0.540983853340149,[11]
