group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.9095907147220526,1.4850335980452047,15,True,True,0.9211073001225789,0.688050631682078,1.1186445334752402,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 16, 17, 18]"
2,wart_flesh,0.07330482590103848,0.07208307880268784,3,False,False,0.8965167999267578,0.6707751154899597,0.018059334754943847,"[8, 12, 15]"
3,wart_flesh,0.03176542455711668,0.03176542455711668,1,False,False,0.8517241477966309,0.6695008277893066,0.014577865600585938,[10]
4,wart_flesh,0.015271838729383017,0.015271838729383017,1,False,False,0.07896003127098083,0.13058893382549286,-0.004130312204360962,[19]
