group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.862047823421214,1.270999386879215,14,True,True,0.8715267202683857,0.07828328758478165,1.1634594746146885,"[0, 2, 5, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
2,wart_flesh,0.1618638871857756,0.1618638871857756,1,False,False,0.8652750253677368,0.019234811887145042,0.06768321707844735,[1]
3,main_flesh_band,0.17290006131207847,0.17290006131207847,1,True,False,0.26505982875823975,0.0,0.5712047863006592,[3]
4,wart_flesh,0.10300429184549356,0.10300429184549356,1,False,False,0.00660647451877594,0.0,0.0005285179615020752,[4]
5,main_flesh_band,0.18209687308399755,0.1741263028816677,3,True,False,0.24127648770809174,0.3764805905520916,0.53918367177248,"[7, 9, 10]"
