group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.5626168224299065,0.6953271028037383,13,False,True,0.0,0.4011631802870677,0.5179069455770346,"[0, 1, 2, 4, 5, 6, 7, 11, 14, 16, 17, 18, 19]"
2,wart_flesh,0.044859813084112146,0.044859813084112146,1,False,False,0.0,0.48182162642478943,-0.038545730113983157,[3]
3,wart_flesh,0.044859813084112146,0.044859813084112146,1,False,False,0.0,0.6625961065292358,-0.05300768852233887,[8]
4,wart_flesh,0.06448598130841121,0.06448598130841121,1,False,False,0.0,0.0,0.0,[9]
5,wart_flesh,0.03457943925233645,0.03457943925233645,1,False,False,0.0,0.0,0.0,[10]
6,wart_flesh,0.04766355140186916,0.04766355140186916,1,False,False,0.0,0.0,0.0,[12]
7,wart_flesh,0.028037383177570093,0.028037383177570093,1,False,False,0.0,0.0,0.0,[13]
8,wart_flesh,0.04205607476635514,0.04205607476635514,1,False,False,0.46460387110710144,0.2891533076763153,0.014036045074462891,[15]
