group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.8286334056399133,0.8308026030368764,17,False,True,0.3211164505166166,0.8404610187143964,0.5084524345441777,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18]"
2,wart_flesh,0.04815618221258135,0.04815618221258135,1,False,False,0.2882075309753418,0.42531853914260864,-0.010968880653381348,[13]
3,wart_flesh,0.054663774403470713,0.054663774403470713,1,False,False,0.007884461432695389,0.4219013452529907,-0.03312135070562363,[14]
4,wart_flesh,0.04468546637744035,0.04468546637744035,1,False,False,0.03779473528265953,0.0,0.0030235788226127625,[19]
