image_id,corridor_id,primitive_id,prompt,candidate_index,sam_score,inside_corridor_ratio,seed_overlap_ratio,iou_seed,groove_overlap,glare_overlap,area_ratio,selector_score,accepted
VIN005_01,1,2,raised fleshy surface region on a bitter melon,0,0.1077880859375,0.031875101126589866,0.004861797121661147,0.0006847166337038805,0.02905148810751303,0.045625194907188416,6.105313111356461,0.027043331610309605,False
VIN005_01,1,2,raised fleshy surface region on a bitter melon,1,0.09417724609375,0.36530531075338596,0.5797547794758556,0.11487578247636739,0.024403927068723703,0.05501468479633331,4.62655199798555,0.3093078189246331,False
VIN005_01,1,2,raised fleshy surface region on a bitter melon,2,0.10858154296875,0.256395589416547,0.557324655703411,0.08185356084183455,0.02689068471143782,0.05023779720067978,6.366126251767486,0.26500972518241994,False
VIN005_01,1,2,raised fleshy surface region on a bitter melon,3,0.08770751953125,0.020521311992184998,0.008367714567958626,0.000687300531703328,0.03267336507601095,0.0532664991915226,11.183121235012687,0.015221305093538598,False
VIN005_01,1,2,raised fleshy surface region on a bitter melon,4,0.08465576171875,0.0,0.0,0.0,0.013037620995908591,0.04594361037015915,3.882077207662657,0.024483202576637268,False
VIN005_01,1,2,raised fleshy surface region on a bitter melon,5,0.9560546875,0.9829921975203079,0.5824277994072868,0.31189967429413107,0.004449016673792219,0.06491971760988235,1.4497840277374243,0.6512179305486572,True
VIN005_01,1,2,raised fleshy surface region on a bitter melon,6,0.09466552734375,0.08708507652979504,0.052782458790942725,0.007547054848394208,0.031236585662756354,0.049515578895807266,6.046564781993918,0.055506158406309763,False
VIN005_01,1,2,raised fleshy surface region on a bitter melon,7,0.1805419921875,0.1344295166375845,0.6724388401417862,0.044854915357601534,0.030108935857689905,0.057166051119565964,14.6638580587677,0.2612800645235731,False
VIN005_01,1,2,raised fleshy surface region on a bitter melon,8,0.08660888671875,0.9799673150930466,0.46779785771011295,0.2862069374163042,0.0053596218391410546,0.06850235909223557,1.1022720669417165,0.5254933544061415,True
VIN005_01,1,2,raised fleshy surface region on a bitter melon,9,0.1048583984375,0.0,0.0,0.0,0.055162744418145365,0.06323892623186111,2.5696244213299244,0.027624299255854592,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,0,0.11737060546875,0.9223484848484849,0.0,0.0,0.017454954954954954,0.06184008717536926,1.9137931034482758,0.3057056522506071,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,1,0.182861328125,0.0004898064060254218,0.0,0.0,0.025758999189009067,0.04651261493563652,24.400274294670847,0.016486347803383566,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,2,0.080810546875,0.32948136643919,0.10070532915360501,0.006379664509082334,0.024908362234053055,0.059004656970500946,14.8860697492163,0.1286013136089283,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,3,0.089111328125,1.0,0.0,0.0,0.0,0.12593121826648712,0.19308385579937304,0.2960655703776309,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,4,0.1490478515625,0.9601152522476856,0.0,0.0,0.01200544246725182,0.058478210121393204,3.6719239811912225,0.301425610928038,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,5,0.09619140625,1.0,0.0,0.0,0.0006602839220864972,0.19194082915782928,0.29672805642633227,0.299793890147063,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,6,0.1258544921875,1.0,0.0,0.0,0.0,0.14880064129829407,0.39782523510971785,0.31502450656741393,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,7,0.185546875,1.0,0.0,0.0,0.0,0.10468392819166183,0.8311128526645768,0.36037993895783327,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,8,0.0885009765625,0.0014286989909813375,0.0,0.0,0.032145727297080096,0.04144800081849098,1.0970807210031348,0.07419596387976697,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,9,0.097900390625,0.0,0.0,0.0,0.00807840728525457,0.043761979788541794,14.673001567398119,0.012083597551750282,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,10,0.08209228515625,0.9656969696969697,0.8469827586206896,0.47868453105968334,0.024606060606060607,0.09151653200387955,1.6163793103448276,0.6290339956990812,True
VIN005_01,1,22,raised fleshy surface region on a bitter melon,11,0.1221923828125,1.0,0.0,0.0,0.0,0.1465684473514557,0.35462382445141066,0.3113075161054964,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,12,0.88525390625,0.9578052034689793,0.9012539184952978,0.4843124868393346,0.02974205025572604,0.08915023505687714,1.7621473354231976,0.7352283258271454,True
VIN005_01,1,22,raised fleshy surface region on a bitter melon,13,0.09893798828125,0.9617333611952774,0.0,0.0,0.01128408734719465,0.05786871165037155,3.7503918495297808,0.295602689704767,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,14,0.10760498046875,0.971503332887675,0.0,0.0,0.010256508203296598,0.05354924499988556,5.129016457680251,0.2941958219502944,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,15,0.25537109375,0.14871276768478595,0.1600705329153605,0.0020826429427209464,0.03033868294832772,0.0562913604080677,76.01939655172414,0.11103650080435709,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,16,0.10430908203125,0.0,0.0,0.0,0.031591317572238355,0.05481838434934616,17.005485893416928,0.006517719837771979,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,17,0.1015625,0.9828722814367569,0.0,0.0,0.008650113979422093,0.051008228212594986,7.950137147335423,0.2916437772368006,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,18,0.114990234375,0.0,0.0,0.0,0.05466922856223754,0.06187158450484276,11.26753526645768,0.005015299992665334,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,19,0.11163330078125,0.30463318982462534,0.13371865203761754,0.006278026905829596,0.023578256992453805,0.05498639494180679,20.433189655172413,0.1343628839094846,False
VIN005_01,1,22,raised fleshy surface region on a bitter melon,20,0.08282470703125,0.9023196034029011,0.0,0.0,0.022400391700838483,0.06793784350156784,1.6006073667711598,0.3026543749669051,False
VIN005_01,1,8,raised fleshy surface region on a bitter melon,0,0.16845703125,0.9540524728860087,0.0,0.0,0.005400297016335899,0.07288309186697006,5.237096394060806,0.2957144695656665,False
VIN005_01,1,8,raised fleshy surface region on a bitter melon,1,0.16064453125,0.31615187486522134,0.0,0.0,0.023921645327756633,0.05407709255814552,46.995286353994814,0.10039167062571806,False
VIN005_01,1,8,raised fleshy surface region on a bitter melon,2,0.299560546875,1.0,0.0,0.0,0.0,0.10481423139572144,2.0238039123261844,0.34709164848285434,False
VIN005_01,1,8,raised fleshy surface region on a bitter melon,3,0.09771728515625,0.0,0.0,0.0,0.0004484923756296143,0.056548867374658585,6.831487155314636,0.018822947275475718,False
VIN005_01,1,8,raised fleshy surface region on a bitter melon,4,0.12103271484375,1.0,0.0,0.0,0.0,0.1952231079339981,0.67923638934716,0.33324498829430294,False
