group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.9414049854321787,1.1039171252832631,14,True,True,0.49511100138936726,0.6523414765085492,1.0874215619904655,"[0, 2, 4, 5, 6, 9, 10, 11, 13, 14, 16, 17, 18, 19]"
2,main_flesh_band,0.20848170929103269,0.09129168015539009,4,True,False,0.6439777761697769,0.8210195899009705,0.5358366549015046,"[1, 3, 7, 12]"
3,main_flesh_band,0.07024927160893493,0.025250890255746197,2,True,False,0.8177773654460907,0.6484338492155075,0.5635474812984467,"[8, 15]"
