group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.9466377440347071,1.2568329718004339,7,True,True,0.7957127764821053,0.0647494681165881,1.1584770646692415,"[0, 1, 2, 5, 9, 16, 19]"
2,main_flesh_band,0.5574837310195228,0.6195227765726681,11,True,True,0.8944777792150324,0.2498424921015447,1.151570822969079,"[3, 4, 6, 7, 8, 10, 11, 13, 15, 17, 18]"
3,wart_flesh,0.03817787418655098,0.052494577006507594,2,False,False,0.014397906139492989,0.0,0.001151832491159439,"[12, 14]"
