group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.7555775904809122,0.8606841844323252,16,True,True,0.2720490162464557,0.19533191004302353,1.1061373684962748,"[0, 2, 3, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19]"
2,wart_flesh,0.1294000991571641,0.21170054536440258,2,False,False,0.3866531364619732,0.0,0.030932250916957855,"[1, 8]"
3,wart_flesh,0.09221616261774913,0.09221616261774913,1,False,False,0.6574795842170715,0.7483513951301575,-0.007269744873046875,[4]
4,wart_flesh,0.03966286564204264,0.03966286564204264,1,False,False,0.5683304667472839,0.6501489281654358,-0.006545476913452149,[13]
