group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.6093457943925233,0.9336448598130841,16,False,True,0.0,0.12154974659642903,0.5402760202722857,"[0, 2, 3, 4, 5, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]"
2,wart_flesh,0.11962616822429907,0.11962616822429907,1,False,False,0.027949081733822823,0.019851919263601303,0.0006477729976177215,[1]
3,wart_flesh,0.14766355140186915,0.14766355140186915,1,False,False,0.006047336850315332,0.0,0.0004837869480252266,[6]
4,wart_flesh,0.08785046728971962,0.09532710280373832,2,False,False,0.0,0.2907552272081375,-0.023260418176651,"[8, 11]"
