group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.7361026267562615,0.8521686010995724,12,True,True,0.6922660221656164,0.46757003602882224,1.1179756788909436,"[0, 1, 2, 3, 5, 8, 9, 10, 12, 13, 14, 16]"
2,wart_flesh,0.0855222968845449,0.0855222968845449,1,False,False,0.36064764857292175,0.4105149209499359,-0.003989381790161133,[4]
3,wart_flesh,0.05864386072083079,0.08063530849114234,4,False,False,0.5733766779303551,0.3058112785220146,0.021405231952667237,"[6, 11, 15, 17]"
4,wart_flesh,0.05375687232742822,0.05375687232742822,1,False,False,0.8188725113868713,0.6006877422332764,0.0174547815322876,[7]
