image_id,corridor_id,primitive_id,prompt,candidate_index,sam_score,inside_corridor_ratio,seed_overlap_ratio,iou_seed,groove_overlap,glare_overlap,area_ratio,selector_score,accepted
Draco_01,1,31,raised fleshy surface region on a bitter melon,0,0.0989990234375,0.0,0.0,0.0,0.0,0.08895563334226608,0.5138390364521018,0.04587055506128686,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,1,0.1029052734375,0.9240168660184149,0.9973677913376405,0.5372287862513426,0.04780139402805266,0.0699654147028923,1.8538725372896228,0.6627465478974887,True
Draco_01,1,31,raised fleshy surface region on a bitter melon,2,0.1729736328125,0.0,0.0,0.0,0.007141876115918143,0.05813543498516083,1.7422828427853554,0.060594395589998754,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,3,0.08087158203125,0.0,0.0,0.0,0.004741209008297116,0.07996902614831924,0.2018824280130813,0.018509420191271542,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,4,0.12432861328125,0.9933087532432063,0.0,0.0,0.004506349856616141,0.08810026943683624,0.5841110313472122,0.3318254754833546,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,5,0.1748046875,0.0,0.0,0.0,0.0027111291853056797,0.04372532665729523,1.1768365637712372,0.08491516372270987,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,6,0.322021484375,1.0,0.0,0.0,0.0,0.0915253534913063,0.31171731674244235,0.3362579351850909,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,7,0.330810546875,0.7320156285911285,0.0,0.0,0.07297173063663526,0.21680206060409546,0.6941054478742921,0.26825156648480464,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,8,0.1722412109375,0.9987277353689568,0.0,0.0,0.0,0.04017096385359764,0.2507776980138789,0.31716124994863043,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,9,0.165283203125,0.9892086330935251,0.0,0.0,0.01721479958890031,0.21035175025463104,0.31044109436069234,0.3013765892518919,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,10,0.1458740234375,1.0,0.0,0.0,0.0,0.07159935683012009,0.8348089654622318,0.35856165150306896,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,11,0.2196044921875,1.0,0.0,0.0,0.0,0.11124052107334137,0.3965063412299593,0.3291738046750295,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,12,0.11505126953125,0.49571432991923753,0.04458801946239132,0.012619934529856642,0.03397592598322864,0.06325879693031311,2.577729919438462,0.18667613269966915,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,13,0.25537109375,0.0010812271928639006,0.0,0.0,0.0059467495607514525,0.07266674935817719,1.1803461753210498,0.09172131158787103,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,14,0.083984375,0.0024766097963676388,0.0,0.0,0.033847000550357734,0.0801532045006752,0.2898620084549733,0.020778879949255237,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,15,0.1370849609375,0.0,0.0,0.0,0.008148148148148147,0.07611912488937378,0.8614501076812635,0.07764704430622153,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,16,0.216552734375,0.6916777139490352,1.0,0.36933274414494033,0.04445426425099425,0.06852235645055771,2.7075855467815266,0.5791499954934745,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,17,0.1580810546875,0.9977085242896425,0.0,0.0,0.008020164986251146,0.07137975841760635,0.34808965462231795,0.3188608720627267,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,18,0.0892333984375,0.0,0.0,0.0,0.0,0.13451676070690155,0.3585387253728962,0.028629764985779578,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,19,0.1605224609375,0.0,0.0,0.0,0.017110528494549467,0.06096861883997917,0.5780489750338996,0.05720701810910374,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,20,0.3515625,1.0,0.0,0.0,0.0,0.11589814722537994,0.734146925101699,0.3716474022301055,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,21,0.1029052734375,0.0,0.0,0.0,0.013565319964612209,0.055661480873823166,0.27047938103214486,0.026821000832243296,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,22,0.097412109375,0.9858314690529456,0.0,0.0,0.0,0.062456779181957245,0.10696338837042355,0.29128279319490213,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,23,0.1976318359375,0.004146660846791794,0.0,0.0,0.024334351811436054,0.049294278025627136,0.7309563691473239,0.07454298227705024,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,24,0.083984375,1.0,0.0,0.0,0.0,0.05074527859687805,0.7034378240408391,0.3422935286355169,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,25,0.09033203125,0.0,0.0,0.0,0.014314928425357873,0.049191493541002274,0.2730318257956449,0.025884084645299833,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,26,0.08489990234375,0.0365990990990991,0.0,0.0,0.044876126126126126,0.06575846672058105,1.416606843742522,0.06267280643909902,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,27,0.190185546875,0.0,0.0,0.0,0.05163283318623124,0.15518493950366974,0.5422349844460397,0.04345970258314334,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,28,0.085205078125,0.0,0.0,0.0,0.0,0.048642780631780624,0.2468692669697695,0.02608272828203911,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,29,0.1199951171875,0.0,0.0,0.0,0.030328209389281262,0.04415814206004143,0.3839834091090373,0.03551979354856342,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,30,0.10693359375,0.0,0.0,0.0,0.03950758660177498,0.04798450693488121,0.2786152987158012,0.0233809772721186,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,31,0.1951904296875,1.0,0.0,0.0,0.0,0.09383964538574219,0.42968812315545984,0.3302907297840774,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,32,0.1427001953125,0.3409090909090909,0.0,0.0,0.08617424242424243,0.08731427788734436,0.25269203158650394,0.10857394070312974,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,33,0.15478515625,0.0,0.0,0.0,0.017811704834605598,0.07538173347711563,0.689638669538167,0.06415243266796299,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,34,0.12335205078125,0.9998984977669508,0.0,0.0,0.0,0.06913705915212631,0.7858339315625748,0.35210957526133213,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,35,0.0804443359375,0.0576036866359447,0.0,0.0,0.03702526616875894,0.060148391872644424,1.0039084310441095,0.09325397081236268,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,36,0.09954833984375,0.1987787356321839,0.021376724894312835,0.01023330405895605,0.0576867816091954,0.06899872422218323,1.1103134721225174,0.13023933059194737,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,37,0.0870361328125,0.0,0.0,0.0,0.005754908598510494,0.11748696118593216,0.23562255723059744,0.018744201901371122,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,38,0.1136474609375,0.0,0.0,0.0,0.0,0.052165865898132324,0.42426417803302224,0.0434055602832912,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,39,0.0882568359375,0.0,0.0,0.0,0.0,0.14615589380264282,0.3343702640185052,0.025647969929768998,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,40,0.083984375,0.0,0.0,0.0,0.04859484777517564,0.08808041363954544,1.089893914014517,0.06671436169806354,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,41,0.14404296875,0.0,0.0,0.0,0.03893805309734513,0.05645750090479851,0.36053282284438065,0.03382357138569755,False
Draco_01,1,31,raised fleshy surface region on a bitter melon,42,0.169677734375,0.0,0.0,0.0,0.006123891026144304,0.06235802546143532,1.0159527797718753,0.09289172510826262,False
