group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.8283261802575107,1.0275904353157572,16,True,True,0.41715473495423794,0.7980025665601715,1.0695321734715253,"[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 17, 19]"
2,wart_flesh,0.055793991416309016,0.055793991416309016,1,False,False,0.06977926194667816,0.0,0.005582340955734253,[7]
3,main_flesh_band,0.09074187614960147,0.08951563458001226,3,True,False,0.1086650292078654,0.007589281226197879,0.5580860598385334,"[9, 16, 18]"
