group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.7551789077212806,0.4985875706214689,10,True,True,0.11895505011780187,0.37153601365280337,1.0797935229172,"[0, 1, 3, 4, 6, 7, 8, 10, 13, 19]"
2,wart_flesh,0.1854990583804143,0.15772128060263654,5,False,False,0.0012516545713879168,0.40478798747062683,-0.03228290663193911,"[2, 9, 11, 14, 15]"
3,main_flesh_band,0.17749529190207156,0.1690207156308851,4,True,False,0.011913124108104967,0.012494712136685848,0.5499534729577136,"[5, 16, 17, 18]"
4,main_flesh_band,0.051318267419962336,0.051318267419962336,1,True,False,0.3055402338504791,0.05496435984969139,0.570046069920063,[12]
