group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.9724830042084817,1.3389446422790547,11,True,True,0.822588096965443,0.8261778625574979,1.0997128187526357,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13]"
2,main_flesh_band,0.018452573648429914,0.016510197474910976,2,True,False,0.0,0.005000218283385038,0.5495999825373292,"[9, 10]"
3,wart_flesh,0.0019423761735189381,0.0019423761735189381,1,False,False,0.0,0.0,0.0,[12]
