group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.9730957372466806,1.482879105520615,18,True,True,0.9239312244786156,0.23161228306384551,1.1553855153131818,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19]"
2,wart_flesh,0.01781970649895178,0.01781970649895178,1,False,False,0.042578328400850296,0.0,0.0034062662720680237,[11]
3,wart_flesh,0.027952480782669462,0.027952480782669462,1,False,False,0.5693548917770386,0.2709164321422577,0.02387507677078247,[13]
