group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.5323210412147505,0.4672451193058568,4,True,True,0.30994662269949913,0.15456901490688324,1.1124302086234095,"[0, 1, 10, 13]"
2,wart_flesh,0.03600867678958785,0.03600867678958785,1,False,False,0.14548495411872864,0.835115373134613,-0.055170433521270754,[2]
3,wart_flesh,0.14620390455531454,0.08459869848156182,5,False,False,0.21002211263403298,0.2779064366593957,-0.005430745922029016,"[3, 4, 5, 7, 8]"
4,main_flesh_band,0.16963123644251626,0.02950108459869848,3,True,False,0.21989350641767183,0.6167134443918864,0.5182544049620629,"[6, 9, 12]"
5,wart_flesh,0.006073752711496746,0.006073752711496746,1,False,False,0.8212928175926208,0.0,0.06570342540740967,[11]
