group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.6884544899205864,0.9883934025656689,17,True,True,0.4344428505967645,0.687039992388557,1.0797922286566566,"[0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]"
2,main_flesh_band,0.2296884544899206,0.26145387904703726,2,True,False,0.6724663376808167,0.40261583030223846,0.5715880405902863,"[1, 15]"
3,wart_flesh,0.06108735491753207,0.06108735491753207,1,False,False,0.46393439173698425,0.2346562147140503,0.018342254161834718,[6]
