group_local_id,semantic,envelope_x_span_ratio,total_x_coverage_ratio,n_components,any_strong_single,chain_main,sam_main_mean,sam_wart_mean,main_score,component_indices
1,main_flesh_band,0.897180043383948,1.2208242950108459,13,True,True,0.6526000545575068,0.3968784101307392,1.1204577315541415,"[0, 1, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16]"
2,wart_flesh,0.05553145336225596,0.05553145336225596,1,False,False,0.16113008558750153,0.7148828506469727,-0.04430022120475769,[2]
3,wart_flesh,0.03036876355748373,0.03036876355748373,1,False,False,0.3914172649383545,0.6878413558006287,-0.023713927268981933,[3]
4,wart_flesh,0.0334056399132321,0.0334056399132321,1,False,False,0.0011853670002892613,0.485751211643219,-0.03876526757143438,[5]
5,wart_flesh,0.01822125813449024,0.01822125813449024,1,False,False,0.4431401193141937,0.5709617733955383,-0.010225732326507569,[12]
6,wart_flesh,0.01648590021691974,0.01648590021691974,2,False,False,0.0,0.2069959919899702,-0.016559679359197617,"[17, 18]"
