image_id,corridor_id,primitive_id,prompt,candidate_index,sam_score,inside_corridor_ratio,seed_overlap_ratio,iou_seed,groove_overlap,glare_overlap,area_ratio,selector_score,accepted
8582_01,1,1,raised fleshy surface region on a bitter melon,0,0.106689453125,0.00201534037033444,0.0,0.0,0.029050317791637588,0.03739077225327492,7.974371131962467,0.014597843386072045,False
8582_01,1,1,raised fleshy surface region on a bitter melon,1,0.08331298828125,0.002084399219297747,0.0,0.0,0.029216329057156754,0.037097834050655365,7.901726891595128,0.011894466993087686,False
8582_01,1,1,raised fleshy surface region on a bitter melon,2,0.09771728515625,0.1642840859438819,0.8728289079656618,0.08206321795930625,0.029745055947111458,0.04371452331542969,10.508884008784188,0.32758831039566183,False
8582_01,1,1,raised fleshy surface region on a bitter melon,3,0.080810546875,0.0017603601523721575,0.0,0.0,0.029447898286637752,0.03446745127439499,6.053204232381713,0.014759331603159214,False
8582_01,1,1,raised fleshy surface region on a bitter melon,4,0.1177978515625,0.0,0.0,0.0,0.029477207836959732,0.03907662257552147,3.8020313435815534,0.026155554424712527,False
8582_01,1,1,raised fleshy surface region on a bitter melon,5,0.11102294921875,0.003866535385160027,2.4955080854461968e-05,4.527898647516674e-06,0.030522950293723934,0.04068627953529358,4.511429427031343,0.022786660143491264,False
8582_01,1,1,raised fleshy surface region on a bitter melon,6,0.96728515625,0.9608131568136339,0.9908913954881213,0.5236732433002743,0.01570389217985926,0.0731203481554985,1.8830854461968456,0.7787031720553398,True
8582_01,1,1,raised fleshy surface region on a bitter melon,7,0.0885009765625,0.0,0.0,0.0,0.01422231689565804,0.047950103878974915,3.5145488121381514,0.026702169018482113,False
8582_01,1,1,raised fleshy surface region on a bitter melon,8,0.09808349609375,0.001860744727293547,0.0,0.0,0.029446285309420377,0.03475409001111984,6.973896985426233,0.015092791901673454,False
8582_01,1,1,raised fleshy surface region on a bitter melon,9,0.1357421875,0.017111766806367345,0.015547015372329807,0.001339436404720492,0.029962036497584995,0.03988932818174362,10.622679177480535,0.024252697408101074,False
8582_01,1,1,raised fleshy surface region on a bitter melon,10,0.086181640625,0.0,0.0,0.0,0.02055836689731144,0.04427208751440048,7.249201437412657,0.013724054797253242,False
